scheme,sample,spec,xvar,dvar,mvar,yvar,b_base_xn,se_base_xn,p_base_xn,N_base,r2w_base,b_mech,se_mech,p_mech,N_mech,r2w_mech,b_y_key,se_y_key,p_y_key,b_y_m,se_y_m,p_y_m,b_y_xn,se_y_xn,p_y_xn,N_y,r2w_y,base_ok10,base_ok05,mech_ok10,mech_ok05,ykey_ok10,ykey_ok05,theory_ok10,theory_ok05,attenuated,strict_ok10,strict_ok05,sig_base_xn,sig_mech,sig_y_key,sig_y_m,sig_y_xn
scheme2_extended,low_fin_no2020,noctrl,fund_est_scale_cum,debt_pressure_l1_w,D1_soccap_leverage_zero_w,F1_pat_utility_apply,-.0004464831893583,.00024632885,.071730271,705,.37571314,-8.95337871949e-08,4.4716987e-08,.046907969,705,.01830928,.01785123794271,.010004298,.0762145,-137.5417485035258,175.68385,.43481871,-.0003240227794714,.00019042776,.09073437,705,.42314243,1,0,1,1,1,0,1,0,1,1,0,*,**,*,,*
scheme2_moderator,low_fin,ctrl5,fund_est_scale_cum,debt_burden,soccap_leverage_govp5_w,ln_pat_utility_apply,-8.75550616238e-07,2.5200094e-07,.00096607365,118,.88765258,-.1163138118415609,.061540689,.063669249,118,.27295175,4.93610100525e-06,2.2600225e-06,.032942437,-.1398709069020324,.052568965,.010027715,-8.95576379871e-07,2.1128001e-07,.000080117577,118,.90344572,1,1,1,0,1,1,1,0,0,0,0,***,*,**,**,***
scheme2_moderator,low_fin,ctrl5,fund_est_scale_cum,debt_burden_w,soccap_leverage_govp5_w,ln_pat_utility_apply,-8.75550616238e-07,2.5200094e-07,.00096607365,118,.88765258,-.1163138118415609,.061540689,.063669249,118,.27295175,4.93610100525e-06,2.2600225e-06,.032942437,-.1398709069020324,.052568965,.010027715,-8.95576379871e-07,2.1128001e-07,.000080117577,118,.90344572,1,1,1,0,1,1,1,0,0,0,0,***,*,**,**,***
scheme2_moderator,low_fin_through2023,ctrl5,fund_est_scale_cum,debt_burden,soccap_leverage_govp5_w,ln_pat_utility_apply,-8.75550616238e-07,2.5200094e-07,.00096607365,118,.88765258,-.1163138118415609,.061540689,.063669249,118,.27295175,4.93610100525e-06,2.2600225e-06,.032942437,-.1398709069020324,.052568965,.010027715,-8.95576379871e-07,2.1128001e-07,.000080117577,118,.90344572,1,1,1,0,1,1,1,0,0,0,0,***,*,**,**,***
scheme2_moderator,low_fin_through2023,ctrl5,fund_est_scale_cum,debt_burden_w,soccap_leverage_govp5_w,ln_pat_utility_apply,-8.75550616238e-07,2.5200094e-07,.00096607365,118,.88765258,-.1163138118415609,.061540689,.063669249,118,.27295175,4.93610100525e-06,2.2600225e-06,.032942437,-.1398709069020324,.052568965,.010027715,-8.95576379871e-07,2.1128001e-07,.000080117577,118,.90344572,1,1,1,0,1,1,1,0,0,0,0,***,*,**,**,***
scheme2_moderator,low_fin_active_cum,ctrl5,fund_est_scale_cum,debt_burden,soccap_leverage_govp5_w,ln_pat_utility_apply,-8.75550616238e-07,2.5239760e-07,.001001928,116,.88765258,-.1163138118415609,.061631568,.064223133,116,.27295175,4.93610100525e-06,2.2640324e-06,.033384494,-.1398709069020324,.052662238,.010236493,-8.95576379871e-07,2.1165488e-07,.000085302512,116,.90344572,1,1,1,0,1,1,1,0,0,0,0,***,*,**,**,***
scheme2_moderator,low_fin_active_cum,ctrl5,fund_est_scale_cum,debt_burden_w,soccap_leverage_govp5_w,ln_pat_utility_apply,-8.75550616238e-07,2.5239760e-07,.001001928,116,.88765258,-.1163138118415609,.061631568,.064223133,116,.27295175,4.93610100525e-06,2.2640324e-06,.033384494,-.1398709069020324,.052662238,.010236493,-8.95576379871e-07,2.1165488e-07,.000085302512,116,.90344572,1,1,1,0,1,1,1,0,0,0,0,***,*,**,**,***
scheme2_moderator,low_fin,ctrl5,fund_est_scale_cum,debt_burden_l1,soccap_leverage_govp5_w,pat_utility_apply,-.0139552353146197,.0051054857,.0081271715,121,.67527854,-.0938660896374486,.055651814,.096613713,121,.25368184,.1129267181409798,.058340583,.057401635,-2540.424488879005,980.3111,.0118631,-.0118204890919065,.0036895378,.0021289785,121,.74912786,1,1,1,0,1,0,1,0,1,1,0,***,*,*,**,***
scheme2_moderator,low_fin,ctrl5,fund_est_scale_cum,debt_burden_l1_w,soccap_leverage_govp5_w,pat_utility_apply,-.0139552353146197,.0051054857,.0081271715,121,.67527854,-.0938660896374486,.055651814,.096613713,121,.25368184,.1129267181409798,.058340583,.057401635,-2540.424488879005,980.3111,.0118631,-.0118204890919065,.0036895378,.0021289785,121,.74912786,1,1,1,0,1,0,1,0,1,1,0,***,*,*,**,***
scheme2_moderator,low_fin_through2023,ctrl5,fund_est_scale_cum,debt_burden_l1,soccap_leverage_govp5_w,pat_utility_apply,-.0139552353146197,.0051054857,.0081271715,121,.67527854,-.0938660896374486,.055651814,.096613713,121,.25368184,.1129267181409798,.058340583,.057401635,-2540.424488879005,980.3111,.0118631,-.0118204890919065,.0036895378,.0021289785,121,.74912786,1,1,1,0,1,0,1,0,1,1,0,***,*,*,**,***
