city,year,total_investment_amount_rmb_m,total_investment_count,early_investment_amount_rmb_m,early_investment_count,early_investment_amount_share,early_investment_count_share
赣州市,2024,0.0,0,0.0,0,,
运城市,2015,0.0,0,0.0,0,,
运城市,2016,0.0,0,0.0,0,,
运城市,2017,0.0,0,0.0,0,,
运城市,2018,0.0,0,0.0,0,,
运城市,2019,0.0,0,0.0,0,,
运城市,2020,0.0,0,0.0,0,,
运城市,2021,0.0,0,0.0,0,,
运城市,2022,0.0,0,0.0,0,,
运城市,2023,0.0,0,0.0,0,,
运城市,2024,,1,,1,,1.0
连云港市,2015,0.0,0,0.0,0,,
连云港市,2016,0.0,0,0.0,0,,
连云港市,2017,0.0,0,0.0,0,,
连云港市,2018,36.0,1,0.0,0,0.0,0.0
连云港市,2019,,1,,1,,1.0
连云港市,2020,0.0,0,0.0,0,,
连云港市,2021,0.0,0,0.0,0,,
连云港市,2022,0.0,0,0.0,0,,
连云港市,2023,27.3,5,,1,,0.2
连云港市,2024,0.0,0,0.0,0,,
遂宁市,2015,0.0,0,0.0,0,,
遂宁市,2016,0.0,0,0.0,0,,
遂宁市,2017,0.0,0,0.0,0,,
遂宁市,2018,0.0,0,0.0,0,,
遂宁市,2019,,1,,1,,1.0
遂宁市,2020,0.0,0,0.0,0,,
遂宁市,2021,0.0,0,0.0,0,,
遂宁市,2022,0.0,0,0.0,0,,
遂宁市,2023,0.0,0,0.0,0,,
遂宁市,2024,0.0,0,0.0,0,,
遵义市,2015,0.0,0,0.0,0,,
遵义市,2016,0.0,0,0.0,0,,
遵义市,2017,99.97,1,99.97,1,1.0,1.0
遵义市,2018,0.0,0,0.0,0,,
遵义市,2019,0.0,0,0.0,0,,
遵义市,2020,0.0,0,0.0,0,,
遵义市,2021,0.0,0,0.0,0,,
遵义市,2022,0.0,0,0.0,0,,
遵义市,2023,0.0,0,0.0,0,,
遵义市,2024,0.0,0,0.0,0,,
郑州市,2015,20.0,2,,1,,0.5
郑州市,2016,239.7,13,0.0,0,,0.0
郑州市,2017,583.33,24,,4,,0.166667
郑州市,2018,647.99,13,,2,,0.153846
郑州市,2019,480.35,18,170.0,3,,0.166667
郑州市,2020,505.3,44,,5,,0.113636
郑州市,2021,384.1,77,6.0,17,,0.220779
郑州市,2022,355.98,48,23.0,9,,0.1875
郑州市,2023,933.82,36,125.96,9,,0.25
郑州市,2024,1487.35,38,189.03,9,,0.236842
郴州市,2015,0.0,0,0.0,0,,
郴州市,2016,,1,0.0,0,,0.0
郴州市,2017,0.0,0,0.0,0,,
郴州市,2018,0.0,0,0.0,0,,
郴州市,2019,0.0,0,0.0,0,,
郴州市,2020,0.0,0,0.0,0,,
郴州市,2021,0.0,0,0.0,0,,
郴州市,2022,0.0,0,0.0,0,,
郴州市,2023,0.0,0,0.0,0,,
郴州市,2024,0.0,0,0.0,0,,
鄂州市,2015,0.0,0,0.0,0,,
鄂州市,2016,20.0,1,20.0,1,1.0,1.0
鄂州市,2017,10.0,1,0.0,0,0.0,0.0
鄂州市,2018,0.0,0,0.0,0,,
鄂州市,2019,5960.0,1,0.0,0,0.0,0.0
鄂州市,2020,,1,0.0,0,,0.0
鄂州市,2021,0.0,0,0.0,0,,
鄂州市,2022,0.0,0,0.0,0,,
鄂州市,2023,0.0,0,0.0,0,,
鄂州市,2024,0.0,0,0.0,0,,
重庆市,2015,402.0,10,34.0,5,,0.5
重庆市,2016,1199.58,21,1003.61,8,,0.380952
重庆市,2017,589.79,31,8.0,7,,0.225806
重庆市,2018,1062.93,39,78.48,19,,0.487179
重庆市,2019,1431.54,45,355.61,22,,0.488889
重庆市,2020,687.15,50,248.81,21,,0.42
重庆市,2021,609.83,109,40.31,41,,0.376147
重庆市,2022,941.89,64,,23,,0.359375
重庆市,2023,1351.17,43,285.64,15,,0.348837
重庆市,2024,1862.27,49,580.44,25,,0.510204
金华市,2015,0.0,0,0.0,0,,
金华市,2016,,1,,1,,1.0
金华市,2017,614.43,7,,2,,0.285714
金华市,2018,729.88,8,0.0,0,,0.0
金华市,2019,95.08,1,0.0,0,0.0,0.0
金华市,2020,276.54,16,140.0,6,,0.375
