city,year,fund_est_count,fund_est_scale,fund_est_count_cum,fund_est_scale_cum,fund_est_count_roll5,fund_est_scale_roll5,fund_inv_amt,fund_inv_count,early_inv_amt,early_inv_count,early_inv_amt_share,early_inv_count_share,pat_invent_apply,pat_utility_apply,pat_design_apply,pat_invent_grant,pat_utility_grant,pat_design_grant,pat_apply_total,pat_grant_total,ln_pat_invent_apply,ln_pat_utility_apply,ln_pat_design_apply,ln_pat_invent_grant,ln_pat_utility_grant,ln_pat_design_grant,ln_pat_apply_total,ln_pat_grant_total,fiscal_pressure,fiscal_pressure_l1,lg_debt,lgfv_debt,bond_total,gdp_debt_src,fiscal_revenue,fiscal_expenditure,debt_burden,debt_pressure,fiscal_selfsuff,debt_burden_l1,debt_pressure_l1,fiscal_selfsuff_l1,soccap_fund_count,soccap_amt,gov_amt,gp_amt,unknown_amt,fund_commit_total,matched_commit_amt,soccap_share_total,gov_share_total,soccap_leverage,matched_share_total,fiscal_transparency,fcity_sa_mean,fcity_sa_firms,fcity_sa_median,fcity_sa_rawmean,fcity_fc_mean,fcity_fc_firms,fcity_fc_median,fcity_kz_mean,fcity_kz_firms,fcity_kz_median,fcity_ww_mean,fcity_ww_firms,fcity_ww_median,loan_balance_yearend,deposit_balance_yearend,gdp_finance_src,fin_dev_1,fin_dev_2,fin_dev,marketization,registered_firm_count,entrepreneurship_population_10k,registered_firm_count_filled,entrepreneurship_population_10k_filled,entrepreneurship_activity,gdp,fiscal_scitech,population_resident,secondary_industry,fdi_actual,发明申请量_滞后一期,实用新型申请量_滞后一期,外观设计申请量_滞后一期,发明获得量_滞后一期,实用新型获得量_滞后一期,外观设计获得量_滞后一期,专利申请总量_滞后一期,专利获得总量_滞后一期,发明申请量_对数_滞后一期,实用新型申请量_对数_滞后一期,外观设计申请量_对数_滞后一期,发明获得量_对数_滞后一期,实用新型获得量_对数_滞后一期,外观设计获得量_对数_滞后一期,专利申请总量_对数_滞后一期,专利获得总量_对数_滞后一期
北京市,2018,36,305294.8819,154,1368177.1383,154,1368177.1383,21660.34,212.0,3690.47,116.0,,0.54717,119905.0,61833.0,20092.0,46994.0,59213.0,17272.0,201830.0,123479.0,11.69446338146498,11.032208653974555,9.908126774684552,10.757796492054402,10.988913279400062,9.756899867693283,12.215185992546708,11.723834478616096,0.77440597047687,0.795774947139217,3950.4427,2848.086348,6798.529048,28014.94,5430.7875,6824.5284,24.26751243,125.1849579,79.57747674,22.58107454,114.0733981,79.31080603,27.0,2225349.83,9612268.42,65629.72,130614.3,12033862.27,11764406.25,0.1849239903258424,0.7987683591795006,0.2315114115383806,0.9776085172030144,83.59,3.677481164037855,317.0,3.801676,-3.677481164037855,0.4046151039182282,299.0,0.373633,1.1889312299829642,299.0,1.388495,-1.0986012712933753,317.0,-1.032221,704836718.0,1570922324.0,303199787.0,2.32466099324799,5.1811458693406,7.50580686258859,4.431008521795694,205119.0,2191.7,205119.0,2191.7,93.58899484,3516.14,42587.12,2192.0,547.74,1674000.0,101957.0,59692.0,17320.0,46090.0,46004.0,14842.0,178969.0,106936.0,11.53231624276216,10.996970039574707,9.75967491717028,10.738372982159593,10.73650536521646,9.605283652624763,12.094973473011454,11.57999515499533
北京市,2019,45,231577.7137,199,1599754.852,199,1599754.852,16148.4,158.0,659.63,61.0,,0.386076,132389.0,68446.0,21397.0,53124.0,58393.0,20175.0,222232.0,131692.0,11.793507390931705,11.133815002144742,9.971052738698551,10.88040290622672,10.974968423812204,9.9122490582047,12.311481660011912,11.788228735217816,0.785225540921602,0.77440597047687,4959.4297,3394.569508,8353.999208,33106.0,5785.9176,7471.4332,25.23409415,144.385036,77.44053176,24.26751243,125.1849579,79.57747674,35.0,3696008.6,6414011.37,912107.0,311710.0,11333836.97,8513714.97,0.3261039143039659,0.5659170311852475,0.5762397954713947,0.751176763221079,85.87,3.7000692134502926,342.0,3.827703,-3.7000692134502926,0.4050959583333333,322.0,0.38567,1.2521391437908498,322.0,1.5159585,-1.0582974093567252,342.0,-1.0348805,735759400.0,1643494898.0,353710000.0,2.08012043764666,4.64644736648667,6.72656780413333,4.784587058377283,216618.0,2190.1,216618.0,2190.1,98.90781243,3776.7,43341.67,2190.0,581.29,1421000.0,119905.0,61833.0,20092.0,46994.0,59213.0,17272.0,201830.0,123479.0,11.69446338146498,11.032208653974555,9.908126774684552,10.757796492054402,10.988913279400062,9.756899867693283,12.215185992546708,11.723834478616096
北京市,2020,55,558335.4429,254,2158090.2949,235,2147658.8518,61419.88,289.0,14964.69,83.0,,0.287197,149992.0,83239.0,21798.0,63252.0,75328.0,24212.0,255029.0,162792.0,11.918343905322804,11.32948328050757,9.989619376165416,11.054897836295,11.229620465807958,10.094644957992482,12.449136464279514,12.00023473408316,0.770622721741159,0.785225540921602,6047.4789,3776.8517,9824.3306,35371.28,5817.0994,7031.0226,27.77488007,168.887102,82.73475611,25.23409415,144.385036,77.44053176,50.0,9360655.04,27326141.44,116290.2,4534458.71,41337545.39,34151572.04,0.226444384921424,0.6610489612334478,0.3425531211771405,0.8261635207847061,89.38,3.732419417322834,381.0,3.843865,-3.732419417322834,0.4425132929745889,358.0,0.4664589999999999,0.9949421341554558,358.0,1.242543,-1.0485505511811024,381.0,-1.02679,810351930.0,1811055634.0,361030000.0,2.24455566019444,5.01635773758413,7.26091339777858,5.410711926904603,204729.0,2189.31,204729.0,2189.31,93.51302465,3850.36,41096.28,2189.0,589.98,,132389.0,68446.0,21397.0,53124.0,58393.0,20175.0,222232.0,131692.0,11.793507390931705,11.133815002144742,9.971052738698551,10.88040290622672,10.974968423812204,9.9122490582047,12.311481660011912,11.788228735217816
北京市,2021,31,63848.2649,285,2221938.5598,202,1760717.5914,38888.87,583.0,1028.35,203.0,,0.348199,173721.0,81423.0,23756.0,79197.0,96075.0,23492.0,278900.0,198764.0,12.065211599361673,11.307425348828614,10.075632502878522,11.279706324958417,11.472894823913874,10.064457783419048,12.538612159123671,12.199878501366848,0.823346453632972,0.770622721741159,8755.038,3786.12752,12541.16552,36102.55,5483.8866,6776.0296,34.73761693,228.6911899,80.93067657,27.77488007,168.887102,82.73475611,28.0,907163.63,1497669.2,40239.12,24360.0,2469431.95,2365282.83,0.3673572094181416,0.6064832845464723,0.6057169567218181,0.957824664899148,80.65,3.7606029029126216,412.0,3.8696915,-3.7606029029126216,0.4599923963165074,389.0,0.501294,1.113987880627558,389.0,1.2650315,-1.064660311435523,411.0,-1.006202,860775028.0,1921043104.0,402700000.0,2.1375093816737,4.77040750931214,6.90791689098585,6.155442241073015,262630.0,2188.6,262630.0,2188.6,119.9990862,4435.07,44944.63,2189.0,773.22,1556200.0,149992.0,83239.0,21798.0,63252.0,75328.0,24212.0,255029.0,162792.0,11.918343905322804,11.32948328050757,9.989619376165416,11.054897836295,11.229620465807958,10.094644957992482,12.449136464279514,12.00023473408316
北京市,2022,29,62101.1788,314,2284039.7386,196,1221157.4822,26879.9,409.0,4812.06,146.0,,0.356968,195388.0,77833.0,22380.0,88126.0,91943.0,22647.0,295601.0,202716.0,12.18274772222627,11.262333632696787,10.01596766362013,11.386534234892505,11.428934975048596,10.027826826791737,12.59676923393316,12.21956619670829,0.765061620130805,0.823346453632972,10550.1739,1779.77983,12329.95373,41610.9,5714.3583,7469.1547,29.63154782,215.7714494,76.50609111,34.73761693,228.6911899,80.93067657,28.0,1020907.78,3539391.56,14506.55,10760.0,4585565.89,4492429.35,0.2226350693654518,0.7718549127641039,0.2884416043530374,0.9796891938237964,80.71,3.794180866213152,441.0,3.900331,-3.794180866213152,0.4334204173994975,418.0,0.449679,1.5734294544597989,418.0,1.767431,-1.0411807959183674,441.0,-1.020641,954968928.0,2124467258.0,416110000.0,2.29499153589195,5.1055424238783,7.40053395977025,6.027780938928794,273400.0,2184.3,273400.0,2184.3,125.1659571,4522.24,48870.39,2184.0,696.04,,173721.0,81423.0,23756.0,79197.0,96075.0,23492.0,278900.0,198764.0,12.065211599361673,11.307425348828614,10.075632502878522,11.279706324958417,11.472894823913874,10.064457783419048,12.538612159123671,12.199878501366848
北京市,2023,21,69957.06,335,2353996.7986,181,985819.6603,30912.33,283.0,13426.62,103.0,,0.363958,184247.0,76062.0,19621.0,107884.0,68902.0,17195.0,279930.0,193981.0,12.124037955175844,11.239317223249772,9.884406664723336,11.588821123973483,11.140454997418148,9.752432077616172,12.542298423211449,12.175520650235654,0.775424180649208,0.765061620130805,11361.3966,1299.021,12660.4176,43760.7,6181.097,7971.6333,28.931,204.8248,77.5387,29.63154782,215.7714494,76.50609111,17.0,707000.0,3134349.33,4055.05,1701.0,3847105.38,3827649.33,0.1837745344007187,0.8147292627580688,0.2255651574101984,0.9949426781753506,76.33,3.827548726457399,446.0,3.9438345,-3.827548726457399,0.4700892626658625,425.0,0.498571,1.6748243419782871,425.0,1.794462,-1.056532029147982,446.0,-1.0321125,1086011627.0,2404386126.0,437610000.0,2.48168832293595,5.49435827791869,7.97604660085464,5.940561392504312,335998.0,2185.8,335998.0,2185.8,153.718547,4735.37,52190.8,2186.0,689.38,,195388.0,77833.0,22380.0,88126.0,91943.0,22647.0,295601.0,202716.0,12.18274772222627,11.262333632696787,10.01596766362013,11.386534234892505,11.428934975048596,10.027826826791737,12.59676923393316,12.21956619670829
北京市,2024,19,438661.3404,354,2792658.139,155,1192903.287,30932.2,391.0,8232.12,168.0,,0.429668,116493.0,15702.0,5139.0,119651.0,60285.0,19757.0,137334.0,199693.0,11.665595048515687,9.661607055884954,8.544808358449211,11.692342808616791,11.006855183288096,9.89131375160442,11.830178475512245,12.204541473884944,0.758970425702199,0.775424180649208,,,,,,,,,,,,,19.0,592604.04,43393670.0,65860.0,10200.0,44062334.04,43965040.0,0.0134492203581869,0.984824588743007,0.0136564627974541,0.9977918999953186,77.61,3.86237704454343,449.0,3.977493,-3.86237704454343,0.453176498216409,428.0,0.490689,1.6517628504756243,428.0,1.699921,-1.0482795290178573,448.0,-1.02922,1171777696.09029,2519675361.90569,498430000.0,2.35093733541378,5.05522412757196,7.40616146298574,5.936189927207591,314624.0,2183.2,314624.0,2183.2,144.1113961,4984.31,56520.06,2183.2,722.68,,184247.0,76062.0,19621.0,107884.0,68902.0,17195.0,279930.0,193981.0,12.124037955175844,11.239317223249772,9.884406664723336,11.588821123973483,11.140454997418148,9.752432077616172,12.542298423211449,12.175520650235654
北海市,2015,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,881.0,130.0,72.0,122.0,134.0,42.0,1083.0,298.0,6.782192056006791,4.875197323201151,4.290459441148391,4.812184355372417,4.90527477843843,3.7612001156935615,6.988413181999592,5.700443573390687,0.361338797814208,0.450128608173764,,,,,,,,,,,,,,,,,,,,,,,,45.820635,3.9696675,6.0,4.035671499999999,-3.9696675,0.199841125,4.0,0.1317155,3.503190875,4.0,2.5918365000000003,-0.9584716666666666,6.0,-0.961312,4841339.0,7484895.0,8920837.0,0.542700085205009,0.839035059154203,1.38173514435921,6.460003035822708,18690.0,162.57,18690.0,162.57,114.9658609,89.20837,43.41,162.57,45.01,18611.0,,,,,,,,,,,,,,,,
北海市,2016,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,1912.0,138.0,111.0,124.0,128.0,110.0,2161.0,362.0,7.556427969440253,4.934473933130692,4.718498871295094,4.8283137373023015,4.859812404361672,4.709530201312334,7.6787889981991535,5.8944028342648505,0.333666533386645,0.361338797814208,0.0,12.0,12.0,891.94,47.61,131.76,1.345381976,25.20478891,36.13387978,,,,,,,,,,,,,,,43.15,4.069288666666666,6.0,4.071392,-4.069288666666666,0.4017270909090909,6.0,0.4741525,0.4018875909090909,6.0,0.7753375,-0.990584,6.0,-1.01961,5351476.0,8156332.0,10066500.0,0.531612377688372,0.810245070282621,1.34185744797099,6.522457683593229,19243.0,164.37,19243.0,164.37,117.0712417,100.665,239.33,164.37,51.614141,21000.0,881.0,130.0,72.0,122.0,134.0,42.0,1083.0,298.0,6.782192056006791,4.875197323201151,4.290459441148391,4.812184355372417,4.90527477843843,3.7612001156935615,6.988413181999592,5.700443573390687
北海市,2017,1,10000.0,1,10000.0,1,10000.0,0.0,0.0,0.0,0.0,,,1172.0,240.0,106.0,195.0,129.0,96.0,1518.0,420.0,7.067319848653476,5.484796933490655,4.672828834461906,5.278114659230517,4.867534450455582,4.574710978503383,7.325807502595773,6.042632833682381,0.40840421480259,0.333666533386645,0.0,26.0,26.0,1006.65,50.0696,150.0566,2.582824219,51.92771662,33.3671428,1.345381976,25.20478891,36.13387978,,,,,,,,,,,,42.43,4.060059333333333,6.0,4.100628,-4.060059333333333,0.3465986666666666,5.0,0.2504825,1.3994469444444446,5.0,1.135038,-0.988962,6.0,-1.0031455,6545244.0,9388376.0,12298420.0,0.532202022698851,0.763380661906164,1.29558268460501,6.641741779865431,27593.0,166.33,27593.0,166.33,165.8931041,122.984,340.04,166.33,66.866,8445.0,1912.0,138.0,111.0,124.0,128.0,110.0,2161.0,362.0,7.556427969440253,4.934473933130692,4.718498871295094,4.8283137373023015,4.859812404361672,4.709530201312334,7.6787889981991535,5.8944028342648505
北海市,2018,0,0.0,1,10000.0,1,10000.0,0.0,0.0,0.0,0.0,,,1169.0,305.0,75.0,229.0,243.0,89.0,1549.0,561.0,7.064759027791802,5.723585101952381,4.330733340286331,5.438079308923196,5.497168225293202,4.499809670330265,7.346010209913293,6.331501849893691,0.408363242750527,0.40840421480259,0.0,23.4,23.4,1229.84,64.34,157.5411,1.902686528,36.36928816,40.84013632,2.582824219,51.92771662,33.3671428,,,,,,,,,,,,62.54,4.0657828333333335,6.0,4.0792280000000005,-4.0657828333333335,0.366310409090909,6.0,0.4018684999999999,2.740737181818182,6.0,2.80194,-0.973053,6.0,-0.976514,7537742.0,10920646.0,12133010.0,0.621259028056517,0.900077227332706,1.52133625538922,6.760439810858543,30039.0,168.0,30039.0,168.0,178.8035714,121.3301037,456.06,168.0,58.3190244,,1172.0,240.0,106.0,195.0,129.0,96.0,1518.0,420.0,7.067319848653476,5.484796933490655,4.672828834461906,5.278114659230517,4.867534450455582,4.574710978503383,7.325807502595773,6.042632833682381
北海市,2019,1,405.0,2,10405.0,2,10405.0,0.0,0.0,0.0,0.0,,,310.0,492.0,152.0,91.0,345.0,99.0,954.0,535.0,5.739792912179234,6.20050917404269,5.030437921392435,4.5217885770490405,5.846438775057725,4.605170185988092,6.86171134048073,6.284134161070802,0.389418042188201,0.408363242750527,0.0,21.8,21.8,1213.301037,71.64,175.55,1.796751122,30.42992741,40.80888636,1.902686528,36.36928816,40.84013632,1.0,30000.0,10000.0,500.0,0.0,40500.0,40000.0,0.7407407407407407,0.2469135802469135,3.0,0.9876543209876544,68.65,4.187811666666667,6.0,4.1505395,-4.187811666666667,0.3331876,6.0,0.2253065,2.2913048,6.0,2.3956235,-1.1746145,6.0,-1.0391285,8418363.0,12388296.0,13010000.0,0.647068639508071,0.95221337432744,1.59928201383551,6.486809953622899,34906.0,170.07,34906.0,170.07,205.2448992,130.08,232.2,170.07,55.7824632,,1169.0,305.0,75.0,229.0,243.0,89.0,1549.0,561.0,7.064759027791802,5.723585101952381,4.330733340286331,5.438079308923196,5.497168225293202,4.499809670330265,7.346010209913293,6.331501849893691
